timestamp,scheduler,mapping,ncpu,ngpu,N,NB,run_idx,ms,exit_code,gflops,rel_error
2025-08-12 11:11:42,dmdas,hybrid,3,1,1000,192,7,265,0,50.110000,4.100000e-02
2025-08-12 11:11:42,heteroprio,hybrid,3,1,1000,192,0,273,0,36.640000,4.100000e-02
2025-08-12 11:11:43,heteroprio,hybrid,3,1,1000,192,1,270,0,36.730000,4.100000e-02
2025-08-12 11:11:43,heteroprio,hybrid,3,1,1000,192,2,266,0,38.880000,4.100000e-02
2025-08-12 11:11:43,heteroprio,hybrid,3,1,1000,192,3,269,0,37.420000,4.100000e-02
2025-08-12 11:11:43,heteroprio,hybrid,3,1,1000,192,4,270,0,37.660000,4.100000e-02
2025-08-12 11:11:44,heteroprio,hybrid,3,1,1000,192,5,268,0,36.570000,4.100000e-02
2025-08-12 11:11:44,heteroprio,hybrid,3,1,1000,192,6,270,0,35.740000,4.100000e-02
2025-08-12 11:11:44,heteroprio,hybrid,3,1,1000,192,7,268,0,38.920000,4.100000e-02
2025-08-12 11:11:45,pheft,hybrid,3,1,1000,192,0,264,0,76.970000,4.100000e-02
2025-08-12 11:11:45,pheft,hybrid,3,1,1000,192,1,262,0,82.560000,4.100000e-02
2025-08-12 11:11:45,pheft,hybrid,3,1,1000,192,2,263,0,79.920000,4.100000e-02
2025-08-12 11:11:45,pheft,hybrid,3,1,1000,192,3,260,0,81.100000,4.100000e-02
2025-08-12 11:11:46,pheft,hybrid,3,1,1000,192,4,262,0,82.730000,4.100000e-02
2025-08-12 11:11:46,pheft,hybrid,3,1,1000,192,5,261,0,81.950000,4.100000e-02
2025-08-12 11:11:46,pheft,hybrid,3,1,1000,192,6,261,0,82.130000,4.100000e-02
2025-08-12 11:11:46,pheft,hybrid,3,1,1000,192,7,262,0,78.340000,4.100000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,0,169,0,68.700000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,1,157,0,69.450000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,2,157,0,69.900000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,3,157,0,69.600000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,4,157,0,69.230000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,5,157,0,73.020000,5.280000e-02
2025-08-12 11:11:47,dm,4_cpu_only,4,0,1000,256,6,157,0,69.680000,5.280000e-02
2025-08-12 11:11:48,dm,4_cpu_only,4,0,1000,256,7,158,0,70.380000,5.280000e-02
2025-08-12 11:11:48,dmda,4_cpu_only,4,0,1000,256,0,161,0,64.180000,5.280000e-02
2025-08-12 11:11:48,dmda,4_cpu_only,4,0,1000,256,1,158,0,62.160000,5.280000e-02
2025-08-12 11:11:48,dmda,4_cpu_only,4,0,1000,256,2,157,0,72.760000,5.280000e-02
2025-08-12 11:11:48,dmda,4_cpu_only,4,0,1000,256,3,158,0,69.540000,5.280000e-02
2025-08-12 11:11:48,dmda,4_cpu_only,4,0,1000,256,4,159,0,55.610000,5.280000e-02
2025-08-12 11:11:49,dmda,4_cpu_only,4,0,1000,256,5,158,0,68.630000,5.280000e-02
2025-08-12 11:11:49,dmda,4_cpu_only,4,0,1000,256,6,156,0,69.640000,5.280000e-02
2025-08-12 11:11:49,dmda,4_cpu_only,4,0,1000,256,7,158,0,68.380000,5.280000e-02
2025-08-12 11:11:49,dmda,hybrid,3,1,1000,256,0,271,0,64.980000,5.280000e-02
2025-08-12 11:11:49,dmda,hybrid,3,1,1000,256,1,262,0,70.860000,5.280000e-02
2025-08-12 11:11:50,dmda,hybrid,3,1,1000,256,2,262,0,70.340000,5.280000e-02
2025-08-12 11:11:50,dmda,hybrid,3,1,1000,256,3,261,0,70.780000,5.280000e-02
2025-08-12 11:11:50,dmda,hybrid,3,1,1000,256,4,262,0,69.350000,5.280000e-02
2025-08-12 11:11:50,dmda,hybrid,3,1,1000,256,5,261,0,64.330000,5.280000e-02
2025-08-12 11:11:51,dmda,hybrid,3,1,1000,256,6,262,0,70.740000,5.280000e-02
2025-08-12 11:11:51,dmda,hybrid,3,1,1000,256,7,259,0,64.780000,5.280000e-02
2025-08-12 11:11:51,dmdas,hybrid,3,1,1000,256,0,263,0,70.000000,5.280000e-02
2025-08-12 11:11:52,dmdas,hybrid,3,1,1000,256,1,276,0,69.390000,5.280000e-02
